timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643185858383,5484,Home page,500,Internal Server Error,Thread Group 1-12,text,false,,895,120,200,200,https://lifecharger.org/,5234,0,2835
1643185858623,5263,Home page,500,Internal Server Error,Thread Group 1-22,text,false,,895,120,200,200,https://lifecharger.org/,5116,0,2572
1643185859058,4829,Home page,500,Internal Server Error,Thread Group 1-40,text,false,,895,120,200,200,https://lifecharger.org/,4785,0,2165
1643185858433,5461,Home page,500,Internal Server Error,Thread Group 1-14,text,false,,895,120,200,200,https://lifecharger.org/,5409,0,2785
1643185859477,4422,Home page,500,Internal Server Error,Thread Group 1-55,text,false,,895,120,200,200,https://lifecharger.org/,4291,0,1733
1643185859111,4790,Home page,500,Internal Server Error,Thread Group 1-42,text,false,,895,120,200,200,https://lifecharger.org/,4656,0,2112
1643185858843,5065,Home page,500,Internal Server Error,Thread Group 1-31,text,false,,895,120,200,200,https://lifecharger.org/,4915,0,2372
1643185859593,4340,Home page,500,Internal Server Error,Thread Group 1-59,text,false,,895,120,200,200,https://lifecharger.org/,4339,0,1654
1643185858525,5434,Home page,500,Internal Server Error,Thread Group 1-18,text,false,,895,120,200,200,https://lifecharger.org/,5434,0,2723
1643185858746,5216,Home page,500,Internal Server Error,Thread Group 1-27,text,false,,895,120,200,200,https://lifecharger.org/,5216,0,2450
1643185859405,4753,Home page,500,Internal Server Error,Thread Group 1-52,text,false,,895,120,200,200,https://lifecharger.org/,4752,0,1783
1643185859784,4395,Home page,500,Internal Server Error,Thread Group 1-63,text,false,,895,120,200,200,https://lifecharger.org/,4394,0,1562
1643185859979,4232,Home page,500,Internal Server Error,Thread Group 1-75,text,false,,895,120,200,200,https://lifecharger.org/,4230,0,1816
1643185858935,5294,Home page,500,Internal Server Error,Thread Group 1-35,text,false,,895,120,200,200,https://lifecharger.org/,5293,0,2318
1643185858320,6042,Home page,500,Internal Server Error,Thread Group 1-4,text,false,,895,120,200,200,https://lifecharger.org/,6042,0,2944
1643185858320,6114,Home page,500,Internal Server Error,Thread Group 1-9,text,false,,895,120,200,200,https://lifecharger.org/,6113,0,2917
1643185859895,4538,Home page,500,Internal Server Error,Thread Group 1-71,text,false,,895,120,200,200,https://lifecharger.org/,4538,0,1738
1643185859561,4972,Home page,500,Internal Server Error,Thread Group 1-58,text,false,,895,120,200,200,https://lifecharger.org/,4971,0,1665
